,Comment,topics,c1,d1,c2,d2,c3,d3,c4,d4,missing,c5,Categories,Descriptions,Category Accuracy (%),Description Accuracy (%),Final Score (%),Data Issue Flag
10,"Large portions and family friendly.
I've had a lot of lobster and I felt this lobster wasn't sweet but they do give you big portions. The servers are very nice but the service was slow. We had to ask for napkins, utensils and plates. Overall it's a great place to bring your family or for a low key date. We got the lobster rolls.","- Category: Food Quality
  - Description: Lobster wasn't sweet but large portions.
  - Attitude: Mixed

- Category: Customer Service
  - Description: Servers are very nice but service was slow, had to ask for napkins, utensils, and plates.
  - Attitude: Mixed

- Category: Ambiance
  - Description: Great place for families or low-key dates.
  - Attitude: Positive",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Food Quality', 'Customer Service', 'Ambiance']","[""Lobster wasn't sweet but large portions."", 'Servers are very nice but service was slow, had to ask for napkins, utensils, and plates.', 'Great place for families or low-key dates.']",100.0,100.0,100.0,False
11,"Just digested wonderful NYT article:
https://www.nytimes.com/2023/11/14/nyregion/nyc-costs-lobster-roll-fries.html
Lord willing. I'll relish this delish dish. So, from this southern boy's view, quit yer belly achin' & try to offer a bit o' sympathy if not empathy.
Can't beat this jewel: ""Still, Ms. Povich said, 'I'd rather people complain about my prices than complain about my food.'""","- Category: Food Quality
  - Description: The review references a delish dish, suggesting a positive view on the food quality.
  - Attitude: Satisfied

- Category: Value for Money
  - Description: The reviewer mentions a quote about being willing to receive complaints about prices rather than food quality.
  - Attitude: Neutral",1.0,1.0,1.0,1.0,,,,,,,"['Food Quality', 'Value for Money']","['The review references a delish dish, suggesting a positive view on the food quality.', 'The reviewer mentions a quote about being willing to receive complaints about prices rather than food quality.']",100.0,100.0,100.0,False
12,"I recently went to Red Hook for dinner.  This is still the best lobster roll I've had in the city, really reminds me of the great waterfront lobster shacks in Maine, even though the Lobster Pound is an actual indoor restaurant now.  Lobster was perfectly prepared and you can choose between the traditional butter or mayonnaise versions. Great place for dinner!","- Category: Food Quality
  - Description: The lobster roll was described as the best in the city and perfectly prepared with the option of traditional butter or mayonnaise versions.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: The reviewer mentions that the restaurant's ambiance reminded them of great waterfront lobster shacks in Maine.
  - Attitude: Satisfied",1.0,1.0,1.0,1.0,,,,,,,"['Food Quality', 'Ambiance']","['The lobster roll was described as the best in the city and perfectly prepared with the option of traditional butter or mayonnaise versions.', ""The reviewer mentions that the restaurant's ambiance reminded them of great waterfront lobster shacks in Maine.""]",100.0,100.0,100.0,False
13,It's always a pleasure getting a lobster roll! The outdoor seating here is nice and the service is good. We were seated right away and used our phones to generate a menu. We both had lobster roles - the 6oz classic and the 6oz Connecticut. We opted to get two different sides so we could share: Cole slaw and corn on the cob. The one role was made gluten free by substituting a lettuce wrap. The food is delicious and we'd happily order more - although the prices are truly crazy. 6oz of lobster on lettuce was $42 (classic was the same)! I get that lobster is a luxury item though this felt like a lot.,"- Category: Food Quality
  - Description: Lobster rolls with sides such as cole slaw and corn on the cob were ordered.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: Mentioned that the outdoor seating was nice.
  - Attitude: Satisfied

- Category: Value for Money
  - Description: Mentioned that the prices for the lobster rolls were considered expensive.
  - Attitude: Not satisfied",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Food Quality', 'Ambiance', 'Value for Money']","['Lobster rolls with sides such as cole slaw and corn on the cob were ordered.', 'Mentioned that the outdoor seating was nice.', 'Mentioned that the prices for the lobster rolls were considered expensive.']",100.0,100.0,100.0,False
14,If you are coming here for a good lobster roll... Skip this place and go to Littleneck on 3rd Avenue Gowanus for a super delicious lobster roll.,"- Category: Food Quality
   - Description: Subpar lobster roll compared to the one at Littleneck on 3rd Avenue Gowanus.
   - Attitude: Dissatisfied",1.0,1.0,,,,,,,,,['Food Quality'],['Subpar lobster roll compared to the one at Littleneck on 3rd Avenue Gowanus.'],100.0,100.0,100.0,False
15,"I have been faithfully coming here since around 2011, when it was a more modest setup with picnic style tables and you ordered at the counter. I love lobster, and I love the lobster here, and it's always been delicious, sweet, and fresh. It has been a tradition for years for my mother and I to celebrate our birthdays (only four days apart!) here. 
Then, they launched Lobster Week, and my trips out to Red Hook became even more frequent. 
The current layout of the restaurant is nice; nautical themed enough but not over the top. There's plenty of seating, but there are nights where it will be packed and you and your neighbors are at risk of flying lobster particles hitting one another. But the atmosphere is always lovely and lively. They have a great selection at the bar, and even though I usually default to a lobster dinner (how can you pass that up??), I will make it my mission to try everything on their menu. 
I definitely recommend the hot crab dip, their fries are awesome, the lobster bisque is divine, and of course, please be sure to get the lobster dinner and maybe add on a seafood boil while you're at it! 
Generally, pricing is as you'd expect for lobster in the city, but you really cannot beat their Lobster Week deals. I usually come several days (often consecutively) for Lobster Week, and this year, I managed seven visits in the month of September. 
The staff is so friendly and cool, and they are attentive and kind. I really love going here, and I'm always raving about the place to anyone who doesn't suffer a shellfish allergy (my condolences). I take al my friends, I've dined alone here on several occasions--no matter what, it is truly always a great time. 
Lobster is my favorite food and this is my favorite place to eat lobster, so it's basically my personal heaven. 
I wish these folks every success, and no complaints, and I hope they stay in operation forevermore.","- Category: Food Quality
  - Description: The lobster, hot crab dip, fries, lobster bisque, and seafood boil are recommended for their taste.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: The restaurant has a nice, nautical-themed layout with plenty of seating. On busy nights, it can get packed but the atmosphere remains lovely and lively.
  - Attitude: Satisfied

- Category: Value for Money
  - Description: Pricing is reasonable for lobster in the city, especially during Lobster Week with great deals.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: The staff is friendly, cool, attentive, and kind, making each",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,"['Food Quality', 'Ambiance', 'Value for Money', 'Customer Service']","['The lobster, hot crab dip, fries, lobster bisque, and seafood boil are recommended for their taste.', 'The restaurant has a nice, nautical-themed layout with plenty of seating. On busy nights, it can get packed but the atmosphere remains lovely and lively.', 'Pricing is reasonable for lobster in the city, especially during Lobster Week with great deals.', 'The staff is friendly, cool, attentive, and kind, making each']",100.0,100.0,100.0,False
16,"Aissa was amazing. Loved her. 
Friendly, kind and very attentive! Would definitely come back and ask for her again!","- Category: Customer Service
  - Description: Aissa provided excellent customer service by being friendly, kind, and very attentive.
  - Attitude: Satisfied",1.0,1.0,,,,,,,,,['Customer Service'],"['Aissa provided excellent customer service by being friendly, kind, and very attentive.']",100.0,100.0,100.0,False
17,Very good food at this establishment. BTW - The Bloody Mary was great! Service was a little slow but that's just me v,"- Category: Food Quality
  - Description: Very good food at this establishment. BTW - The Bloody Mary was great!
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Service was a little slow but that's just me.
  - Attitude: Neutral",1.0,1.0,1.0,1.0,,,,,,,"['Food Quality', 'Customer Service']","['Very good food at this establishment. BTW - The Bloody Mary was great!', ""Service was a little slow but that's just me.""]",100.0,100.0,100.0,False
18,I love the lobster roll. It was fresh and delicious. The roll was packed with lobster. The customer service was amazing and they answered all the questions I had.,"- Category: Food Quality
  - Description: The lobster roll was fresh, delicious, and packed with lobster.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: The customer service was amazing, and all questions were answered.
  - Attitude: Satisfied",1.0,1.0,1.0,1.0,,,,,,,"['Food Quality', 'Customer Service']","['The lobster roll was fresh, delicious, and packed with lobster.', 'The customer service was amazing, and all questions were answered.']",100.0,100.0,100.0,False
19,Great fun atmosphere!  We're from New England so we're picky and the lobster was amazing!   Service is excellent as well.  We'll be back!,"- Category: Food Quality
  - Description: Lobster was amazing, catering to picky New Englanders.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Service is excellent.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: Great fun atmosphere.
  - Attitude: Satisfied",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Food Quality', 'Customer Service', 'Ambiance']","['Lobster was amazing, catering to picky New Englanders.', 'Service is excellent.', 'Great fun atmosphere.']",100.0,100.0,100.0,False
20,"This was not technically their restaurant but rather at Bryant park but it was still fantastic! Delicious lobster meat lightly tossed in lemon mayo on a beautifully toasted split bun, a must try!","- Category: Food Quality
  - Description: Delicious lobster meat lightly tossed in lemon mayo on a beautifully toasted split bun.
  - Attitude: Fantastic",1.0,1.0,,,,,,,,,['Food Quality'],['Delicious lobster meat lightly tossed in lemon mayo on a beautifully toasted split bun.'],100.0,100.0,100.0,False
21,Lobster Rolls Baby!!!! I love this place. Such a pleasant experience every time we go. The entire menu is to die for.  But you have to get the LOBSTER ROLLS!!!!,"- Category: Food Quality
  - Description: Lobster Rolls are the standout item on the menu.
  - Attitude: Satisfied

- Category: Menu Choice
  - Description: The entire menu is praised and described as ""to die for.""
  - Attitude: Satisfied",1.0,1.0,1.0,1.0,,,,,,,"['Food Quality', 'Menu Choice']","['Lobster Rolls are the standout item on the menu.', 'The entire menu is praised and described as ""to die for.""']",100.0,100.0,100.0,False
22,"i recommend the red hook lobster pound for their lobster rolls and fish & chips and festive atmosphere. i haven't had their raw bar items but i bet i'd like them. their drink selection works for me too but the frozen drinks run a bit sweet.
unfortunately, i was totally ripped off by the citrus salad with lobster today. there was barely any lobster and what was included had an odd deflated and rubbery quality. when i told the waiter how disappointed i was for the price ($34!!) he admitted that this salad only has 2oz of lobster but the lobster roll has 4oz. the salad costs $2 more than the roll !? make it make sense.
my husband added from past experience that the lobster mac & cheese kinda skimps on lobster too. 
i will be back and stick to what i know they do well.","- Category: Food Quality
  - Description: Issues with the amount and quality of lobster in the citrus salad and lobster mac & cheese.
  - Attitude: Unsatisfied

- Category: Ambiance
  - Description: Positive mention of the festive atmosphere at the restaurant.
  - Attitude: Satisfied

- Category: Value for Money
  - Description: Customer feeling ripped off by the portion size and quality of lobster in the citrus salad.
  - Attitude: Unsatisfied

- Category: Menu Choice
  - Description: Customer feels confident in their choice of lobster rolls, fish & chips, and drinks.
  - Attitude: Satisfied",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,"['Food Quality', 'Ambiance', 'Value for Money', 'Menu Choice']","['Issues with the amount and quality of lobster in the citrus salad and lobster mac & cheese.', 'Positive mention of the festive atmosphere at the restaurant.', 'Customer feeling ripped off by the portion size and quality of lobster in the citrus salad.', 'Customer feels confident in their choice of lobster rolls, fish & chips, and drinks.']",100.0,100.0,100.0,False
23,"AISSA ROCKED!!! Food was spectacular. Did I mention Aissa? AWESOME SERVICE.
We had lobster rolls one traditional and CT style.
100% !!!   That's from a seafood snob. Top notch. Cant be done better!","Based on the review provided, the main business process topics can be categorized as follows:

- Category: Food Quality
  - Description: The food, particularly the lobster rolls in traditional and CT style, was described as spectacular and top-notch.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: A specific mention to Aissa and the awesome service provided.
  - Attitude: Satisfied

Therefore, the key areas highlighted in the review are Food Quality and Customer Service, both of which were portrayed positively with high satisfaction levels.",1.0,1.0,1.0,1.0,,,,,,,"['Food Quality', 'Customer Service']","['The food, particularly the lobster rolls in traditional and CT style, was described as spectacular and top-notch.', 'A specific mention to Aissa and the awesome service provided.']",100.0,100.0,100.0,False
24,"I love red hook lobster pound the lobster rolls the fries and the events 
The service is really good they remember stuff they make the food right","- Category: Food Quality
  - Description: Love the lobster rolls and fries.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Service is really good, staff remembers orders and prepares food correctly.
  - Attitude: Satisfied",1.0,1.0,1.0,1.0,,,,,,,"['Food Quality', 'Customer Service']","['Love the lobster rolls and fries.', 'Service is really good, staff remembers orders and prepares food correctly.']",100.0,100.0,100.0,False
25,The lobster was fresh and delicious. They give you tons of lobster. The only downfall was that I wish it was bigger.,"- Category: Food Quality
  - Description: Fresh and delicious lobster, but wished for a bigger portion.
  - Attitude: Mixed",1.0,1.0,,,,,,,,,['Food Quality'],"['Fresh and delicious lobster, but wished for a bigger portion.']",100.0,100.0,100.0,False
26,"We came here again this Memorial Day weekend and were so happy we did.  We made a reservation for the outdoor seating as we didn't want to take a chance.  It was a good thing too because it was busy!  Our server, Aissa, was just incredible.  We had a six year old with us with a few specific requests and Aissa was on top of all of it, even with how busy they were.  The food was great - per usual - between us all we had oysters, steamed clams, lobster rolls, soup, Brussels sprouts, and a hot dog.  Everything was on point.  We had a few cocktails as well and they all went down smoothly as well.  Absolutely no complaints.","- Category: Customer Service
  - Description: Aissa, the server, provided exceptional service, even with specific requests for a six-year-old and during a busy time.
  - Attitude: Satisfied

- Category: Food Quality
  - Description: The oysters, steamed clams, lobster rolls, soup, Brussels sprouts, and hot dog were all delicious and on point.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: The outdoor seating was reserved and enjoyable on Memorial Day weekend.
  - Attitude: Satisfied",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Customer Service', 'Food Quality', 'Ambiance']","['Aissa, the server, provided exceptional service, even with specific requests for a six-year-old and during a busy time.', 'The oysters, steamed clams, lobster rolls, soup, Brussels sprouts, and hot dog were all delicious and on point.', 'The outdoor seating was reserved and enjoyable on Memorial Day weekend.']",100.0,100.0,100.0,False
27,"Food was great, ambiance was lovely, and service was wonderful. This place was definitely great and I will be back.","- Category: Food Quality
  - Description: Food was great.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: Ambiance was lovely.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Service was wonderful.
  - Attitude: Satisfied",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Food Quality', 'Ambiance', 'Customer Service']","['Food was great.', 'Ambiance was lovely.', 'Service was wonderful.']",100.0,100.0,100.0,False
28,"Unaware because we weren't told of the $3.00 charge to crack the lobster open, hubby ordered the 1.5lb (not cracked) lobster dinner.   He had such a struggle with the thing it slipped out his hand and landed under my seat.  We let one of the servers know what just happened and he offered to put it back in boiling water to clean it off.  Next time either tell us about the charge to crack the lobster open or don't tell us and just charge because no one should have to fight with food, that should be common sense and who wants to eat it after it's been on the floor.  For me there won't be a next time.","- Category: Food Quality
  - Description: Lobster was not cracked open as requested, making it difficult to eat.
  - Attitude: Dissatisfied

- Category: Customer Service
  - Description: Servers did not inform about the charge to crack the lobster open and offered to clean the dropped lobster by putting it back in boiling water.
  - Attitude: Dissatisfied",1.0,1.0,1.0,1.0,,,,,,,"['Food Quality', 'Customer Service']","['Lobster was not cracked open as requested, making it difficult to eat.', 'Servers did not inform about the charge to crack the lobster open and offered to clean the dropped lobster by putting it back in boiling water.']",100.0,100.0,100.0,False
29,Excellent lobster roll! Keeping it real in red hook / I appreciate the attentive service and overall vibe.,"- Category: Food Quality
  - Description: Excellent lobster roll!
  - Attitude: Satisfied

- Category: Customer Service
  - Description: I appreciate the attentive service and overall vibe.
  - Attitude: Satisfied",1.0,1.0,1.0,1.0,,,,,,,"['Food Quality', 'Customer Service']","['Excellent lobster roll!', 'I appreciate the attentive service and overall vibe.']",100.0,100.0,100.0,False
30,"Do you like seafood? Me too. 
And to be clear, I'm not talking about the food I see when my four year old chews things up and shows it to me (I'm a little annoyed that joke is still a thing). I'm talking about all the wonderful things that get pulled out of the ocean, that we get to eat if we're lucky. 
And in Brooklyn, we are lucky, because Red Hook Lobster Pound has it all. Excellent lobster rolls, creamy clam chowder, perfectly fried shrimp and clam strips, fresh shrimp or lobster over a salad if that's your thing, and the beer to wash it all down. They also excel with their sides (brussels sprouts, fries, etc. are all delicious), and the takeout is lightning fast if you don't feel like hanging out there.
Best of all, right now it's Crab Week, and you can go in and get a nice pound of crab legs with potatoes and corn (although the potatoes and corn desperately need seasoning). You just have to decide how fancy you are, king, snow, or dungeness. 
Personally, I went with two friends and got one of each, because depending on the day, I can be fancy, kind of fancy, and a lowbrow piece of trash. 
We also added crab dip, and drank too much, because that's how you should do Crab Week.","- Category: Food Quality
  - Description: Excellent lobster rolls, creamy clam chowder, perfectly fried shrimp and clam strips, fresh shrimp or lobster over a salad, and delicious sides like brussels sprouts and fries.
  - Attitude: Satisfied
  
- Category: Ambiance
  - Description: Enjoyable atmosphere for hanging out and dining in.
  - Attitude: Satisfied
  
- Category: Value for Money
  - Description: Affordable options with a variety of dishes to choose from, including the Crab Week special.
  - Attitude: Satisfied 

- Category: Order Accuracy and Efficiency
  - Description: Lightning-fast takeout service for those who prefer not to dine in.
  - Attitude: S",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,"['Food Quality', 'Ambiance', 'Value for Money', 'Order Accuracy and Efficiency']","['Excellent lobster rolls, creamy clam chowder, perfectly fried shrimp and clam strips, fresh shrimp or lobster over a salad, and delicious sides like brussels sprouts and fries.', 'Enjoyable atmosphere for hanging out and dining in.', 'Affordable options with a variety of dishes to choose from, including the Crab Week special.', 'Lightning-fast takeout service for those who prefer not to dine in.']",100.0,100.0,100.0,False
31,"A super-laid-back tavern atmosphere, and reasonably-priced (comparatively) lobster, perfectly cooked, make this a very satisfying experience when you have that lobster Jones. Excellent 1.5 lb lobster boils, great lobster rolls, and terrific clam chowder. Outside of the summer, it's quite uncrowded as well. Service is friendly and fast.","- Category: Food Quality
  - Description: Perfectly cooked lobsters, great lobster rolls, and terrific clam chowder.
  - Attitude: Satisfying

- Category: Ambiance
  - Description: Super-laid-back tavern atmosphere.
  - Attitude: Satisfying

- Category: Value for Money
  - Description: Reasonably-priced lobster compared to other places.
  - Attitude: Satisfying

- Category: Customer Service
  - Description: Friendly and fast service.
  - Attitude: Satisfying",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,"['Food Quality', 'Ambiance', 'Value for Money', 'Customer Service']","['Perfectly cooked lobsters, great lobster rolls, and terrific clam chowder.', 'Super-laid-back tavern atmosphere.', 'Reasonably-priced lobster compared to other places.', 'Friendly and fast service.']",100.0,100.0,100.0,False
32,aiesha is the best! we had a table of 16 people and she crushed it! best service I've ever had!,"- Category: Customer Service
  - Description: Aiesha provided exceptional service to a large group of 16 people.
  - Attitude: Satisfied",1.0,1.0,,,,,,,,,['Customer Service'],['Aiesha provided exceptional service to a large group of 16 people.'],100.0,100.0,100.0,False
33,"Lobster roll was subpar, barely any sides with it. portions were small but i can understand with this economy. Ive had bigger, better lobster rolls in the area for the same price. Wouldnt come back because of location on how its so far out from the subway and too expensive.","- Category: Food Quality
  - Description: Lobster roll was subpar with barely any sides.
  - Attitude: Dissatisfied

- Category: Value for Money
  - Description: Portions were small but understandable in the current economy, felt that the price did not match the quality.
  - Attitude: Dissatisfied

- Category: Location
  - Description: Location is far out from the subway.
  - Attitude: Dissatisfied",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Food Quality', 'Value for Money', 'Location']","['Lobster roll was subpar with barely any sides.', 'Portions were small but understandable in the current economy, felt that the price did not match the quality.', 'Location is far out from the subway.']",100.0,100.0,100.0,False
