,restaurant_name,Name,Profile Location,Score,Date,Elite 24,Friends,Reviews,Photos,reserved,pictures,checkin,Comment,Helpful,Thanks,Love this,Oh no,Reply Date,Reply Content
117,Amy Ruth’s,Donna H.,"Richton Park, IL",5,"Mar 27, 2024",no,6,61,7,no,1 photo,,Just delicious! Very large portions. Split The Ludacris and the wings were huge. We had a very large group in a time crunch and they accommodated us with speedy and quality service. Next time I'm in Harlem I will definitely return. Wish I had a better pic of the food.,0,0,1,0,,
327,Serendipity 3,Rob R.,"Northport, NY",5,"May 22, 2024",no,0,3,0,no,,,"What a great place to go for a fun time, great food and great staff. The food & ice cream are always a treat. The place is always hopping!",0,0,0,0,,
898,Red Hook Lobster Pound,Alex W.,"New York, NY",4,"Aug 28, 2017",no,29,16,233,no,7 photos,,"First time coming down here on Sunday night trying out this place. Wasn't that packed and didn't have to wait for a seat which was nice. I ordered a couple dished i recommend the Lobster BLT and the Lobster cheese fries overall. This place is a bit on the pricy but it's still doable. The try both the new England and downeast and I recommend the downeast since its more flavorful. the new England is a bit too watery for my taste. Also, avoid the fried lobster roll but rather either the classic or the BLT since you taste more the Lobster flavor in my opinion since the fried lobster takes away that flavor. I would have took 2 star away because of the new England, fried lobster, forgot a set of fork and the long waiting time between the main course and app, but only took one off since the waiter is nice about it and kept updating us on our order.",2,0,0,0,,
557,The Halal Guys,Alejandro S.,"Chicago, IL",2,"Sep 28, 2023",no,0,9,1,no,,,"Man, what a bummer. Heard a lot about Halal Guys but it seriously fell short. The chicken was as bland as cardboard--literally had no taste without the white sauce. And the pita? Soggy as all get out. I was thinking, for the price, at least the portions would be solid, but nah. Felt ripped off, honestly. Only reason I'm even giving it 2 stars is 'cause that white sauce was kinda good. But the rest? Terrible quality. Especially the meat--just, ugh. Do yourself a favor and skip this place if you're looking for good halal grub.",0,0,0,0,,
727,Artichoke Basille’s Pizza,Dan A.,"Baltimore, MD",4,"Jan 18, 2024",no,146,990,9544,no,7 photos,,"I'm a big fan of Artichokes and don't see this vegetable as a topping in many pizza spots so had to try Basille.
Small and more of a takeout space with stand and eat areas as well outdoor seating.
I saw about 8 different Slice options.  The slices are huge and can easily feed two.  Ordered the Artichoke and Pepperoni/Meatball slices.  
Artichoke was very good although not what I expected.  It's a rich and decadent slice given the cream sauce and two cheeses.  Thought the sauce had a seafood taste to it but ingredients don't indicate any seafood.  More Artichokes please.  Overall, unique slice and one is more than a meal.
Pepperoni/Meatball was excellent.  Great balance of toppings and sauce and really liked the Meatball topping. 
Service was quick and friendly.  $15 min for Credit Card purchase.  Good value for money given the huge slices. Will be back to try the Crab and Vodka slices.",0,0,0,0,,
977,Di Fara Pizza,Victor C.,"Midtown East, Manhattan, NY",3,"Jun 24, 2023",no,397,5,0,no,,,Used to be better. Now it's over priced and you're waiting way too long for a pie (1.5 hours). When the old guy was making the pies it wasn't as thin. Now it's even thinner like paper. Young guy at the counter got an attitude when people ask him how long and he basically tells u just wait over and over again. So overrated.,0,0,0,0,,
808,Red Hook Lobster Pound,Amber N.,"Wylie, TX",5,"Oct 11, 2022",no,68,157,242,no,4 photos,,"Let's talk about LOBSTER. This place makes me want to yell ""f*ck yes!"" Like a true New Yorker. We are outside and enjoyed the weather. What was better than the perfect weather? The hot crab dip with house made chips, the absolutely perfect lobster roll (I prefer Connecticut style!) served with the crispiest twice-fried French fried (IYKYK), and a cup of the New England style clam chowder. Served with a local Brooklyn lager, it was the perfect late lunch/early dinner. We FEASTED! 100% recommend, would 11/10.",2,0,2,0,"Oct 20, 2022",Thank you and we hope to see you again soon!
553,The Halal Guys,Sanchita G.,"Falls Church, VA",5,"Oct 11, 2023",no,912,202,287,no,1 photo,,"I went to the OG Halal Guys in the NYC and it was amazing! it was so so much better than the franchises I have been to! the food was so fresh off of the stand and they gave you a lot for 10 dollars small chicken bowl! i wish i took it easy on the white sauce and did more red sauce! i would 1000p come back here again! 
the service was so fast and the people who owned the food truck were super hospitable, i 1000p get the hype now!!
the ambiance it was a cute little food truck right next to MoMa! :)",1,0,0,0,"Oct 11, 2023"," Thank you for the 5 star review, Sanchita! We're always thrilled to see a satisfied customers share their opinion."
435,Buddakan,Terrence M.,"Portland, OR",5,"Apr 14, 2024",no,367,393,1200,no,3 photos,yes,"Order: tasting Menu #3
Pros: the food was amazing! There was a lot of food to taste and share. The food was seasoned well on most dishes and they accommodated all allergies. The vibe was amazing with the dim light. Service was mad quick to! They had the food coming out for our party of 6.
Cons: n/a",1,0,0,0,,
774,Artichoke Basille’s Pizza,Ruth P.,"Chelsea, New York, NY",1,"Jun 18, 2023",no,0,1,1,no,1 photo,,Speaks for itself. Staff laughed when we asked for a refund. Never returning. Stay away. This is the second time.,0,0,0,0,,
731,Artichoke Basille’s Pizza,Rainbow W.,"San Francisco, CA",5,"Dec 28, 2023",no,2,129,128,no,,,"Show stopping. Our second slice of the day and boy were we blown away. Look, will be honest there was extreme hesitancy in the artichoke, but it may have been the best slice of pizza we've ever had in our entire lives. Are we going back tonight?",0,0,0,0,,
634,Ippudo NY,Aubteen Z.,"Los Altos, CA",3,"Feb 24, 2024",no,0,5,0,no,,,"Good service, but the dining area itself is very loud. Unfortunately the ramen is quite underwhelming, not a very deep flavor and little meat in the spicy ramen.",0,0,0,0,,
953,Di Fara Pizza,Robert K.,"Brooklyn, NY",3,"Nov 1, 2023",no,100,67,1,no,,,"Overrated in my opinion and very expensive for pizza, especially since the place is a chaotic mess.",0,1,1,0,,
821,Red Hook Lobster Pound,renje g.,"Brooklyn, NY",4,"May 28, 2020",no,402,2268,24,no,,,"- Good cheap beers during happy hour
- Good lobster roll
- Expensive lobster roll
- Service was with a smile, but he screwed up my to go order
- Crab was not was saucy as I would have liked (so if you go on crab night, don't expect sauce)
  * I think it worked though
- crab was kind of expensive for the amount that came
- This place was pretty full on a random Monday during HH
- potato salad was decent",2,0,2,0,,
716,Artichoke Basille’s Pizza,Holly F.,"Flushing, New York, NY",3,"Apr 20, 2024",no,0,6,0,no,,,This pizza is not as good as it used to be. The guys behind the counter are rude and seem as if they want to pick fights with customers.  No class.  No education.,0,0,0,0,,
983,Di Fara Pizza,Rachel B.,"Midwood, New York, NY",5,"May 28, 2023",no,0,4,0,no,,,"Pizza is so good! Sometimes the crust is a little burnt, but you can ask for it to NOT be so well done! The space is quite small, there may be no room on a busy day! But overall, the pizza is top tier for sure.",0,0,0,1,,
846,Red Hook Lobster Pound,James M.,"New York, NY",4,"Sep 26, 2018",no,603,38,99,no,1 photo,,"This is probably my favorite to go to spot for lobster rolls. I visited this establishment since I was at a nearby IKEA and seen this restaurant had a lot of good reviews. Parking in this area can be a task, however, I was lucky enough to find parking right out front. Upon entering I noticed they have a large number of seatings as well as a few outside if you wanted to get some sun while you grub. They also have specials from 3pm-6pm Monday-Friday $1 oysters as well as $6 draft beers which are quite the bargain. I was seated very quickly and ordered the Connecticut lobster roll since I wanted something warm. I usually would get a main classic lobster roll which is cold when I go to other lobster roll establishments but decided to try something different. It came with French fries and coleslaw. It was a little pricey at $26 however compared to other lobster roll joints they really pack that roll for that price which is a huge thumbs up. The french fries were very salty and I was not a fan of that coleslaw. Otherwise, If you are ever in the Red Hook area of Brooklyn I would definitely advise you to pop in this spot for a quick bite.",0,0,0,0,,
378,Serendipity 3,Jose P.,"Ridgefield Park, NJ",4,"Feb 24, 2024",no,165,385,3542,no,9 photos,,"Stopped into Serendipity 3 for dessert and it was well worth the 20 minute wait. This eatery has been a mainstay in NYC, since 1954, and many celebrities make sure they enjoy their goodness. It is A-L-W-A-Y-S packed and full of the sweet loudness of happy  children and content customers. 
We started with the General Tso's Cauliflower, which was amazing. The sweetness that enveloped each piece of cauliflower, combined with the bed of crunchy noodles, made this a perfect selection. 
Then, it was onto their signature item.... the Frrrozen Hot Chocolate. It is served in a LARGE sundae bowl and it is spiritually delightful. Please, don't try to consume it alone. This is a sharable dessert and ask for various spoons. 
Don't hesitate to come into Serendipity 3. You'll enjoy everything from a full meal to one of the best desserts in NYC. Ohhhhhhh, if you want to splurge, you can easily arrange it, on their Guinness Book Of World Record menu. Please, view my pic, for pricing and items.",11,4,10,0,,
214,L & B Spumoni Gardens,Lucille M.,"Wantagh, NY",5,"May 22, 2024",no,6,98,344,no,5 photos,yes,"stopped by on a long varied home from Jersey . we needed a break from traffic , so my husband suggested Spumoni Gardens! FYI it was only 11 minutes off belt parkway . It was all i ever dreamed of ! Sicilian square pizza & ice cream from an old-school Italian counter that opened in 1939. I waited in car because we couldn't find a legit space . i saw outside dining , picnic bench style . The sicilian pie was served hot and slightly doughy ( in a good way ). The sauce is delicious..reminds me of a pot of sauce on my grandmas stove ! quality cheese both mozzarella and grated . To finish of course the best spumoni i have ever had . So stop by if you're in the neighborhood or passing by on belt parkway  you will not be disappointed",0,1,0,0,,
619,Ippudo NY,Baldev G.,"Jersey City, NJ",1,"Mar 24, 2024",no,0,1,2,no,,,"You can go for food but they may try to make you eat it when you find a bug in it. 
Went for ramen today at lunch but found a bug in my vegetarian ramen. I talked to a staff member about it but she told me that it is Chinese pepper corn and tried to take it from me but the bug fell on the floor and asked me to continue eating. I found the bug from the floor and talked about this to another person in the staff and they tried to take the bug as well, not before they made a sarcastic comment but we managed to get a picture this time. 
The meal experience was ruined but the part I hated was that they tried to make it like it was nothing when it was clearly a lady bug and had us eat it. So you may go but they may make you eat the food even if you find bug in it.",0,0,0,0,,
234,L & B Spumoni Gardens,Glenn G.,"Las Vegas, NV",5,"Mar 16, 2024",no,0,26,11,no,,,"the best of the best, r.i.p. lou. miss seeing your big smile over here and the race track..",0,0,0,0,,
918,Di Fara Pizza,Mr White S.,"Upper West Side, New York, NY",5,"Mar 3, 2024",no,0,2,2,no,1 photo,,"Went there with my wife today and got a whole pie. Literally... an amazing pizza no other words! Thin crust, great under carriage and tastes super good. Worth every penny do not look at the price if you want to taste GREAT pizza!",0,0,0,0,,
207,L & B Spumoni Gardens,Andie G.,"Brooklyn, NY",4,"Jun 16, 2024",no,0,9,7,no,1 photo,,"They are Famous for the Square slice, and the Spumoni. The service is fast and good, the restaurant has many other delicious food options, served family style or individual, always busy.",0,0,0,0,,
415,Buddakan,Channing M.,"Salt Lake City, UT",4,"Jun 1, 2024",no,738,681,1436,no,,,"The space is beautiful but I think the food is a wee bit hyped up for what you actually get. Some of the favs were lacking in flavor or food. The pieces of pork belly were so small and the ratio to the bun was not great. The rock shrimp were good but the flavor wasn't as popping as I'd hoped. 
Service was great. Highly recommend making an early reservation. 
Will have to go back and try out some more dishes.",0,0,0,0,,
884,Red Hook Lobster Pound,Joe G.,"Brooklyn, NY",1,"Jun 18, 2013",no,1,2,0,no,,,"Went to have lunch with my 2 grand daughters and wife.  2 Lobster Roll, 2 Frank's lemonades(tasted like cucumber juice Horrible) 2 bottle waters 2 french fries.  $78.00 OUTRAGEOUS!  We left hungry and broke.  I was looking for a cop since I felt I was just robbed.  To compound the matter.  No ketchup, No Pickles for the kids, No diet soda for us diabetics and NO toilet paper or towels in the bathrooms.
As for the Lobster Rolls, they were basically tasteless.  A frank roll with ton of lettuce and a few pieces of lobster meat.
This place has got to be the biggest rip off in the city.",0,0,0,0,,
789,Artichoke Basille’s Pizza,Jason D.,"ASTORIA, NY",1,"Apr 6, 2023",no,1,3,2,no,1 photo,,"Is $2 worth fighting for? I think so but you decide for yourself. On Friday, March 24 I was craving pizza and not any pizza but Artichoke Pizza. I bought 3 slices and paid the employee by credit card and I also left a $2 cash tip. The pizza was amazing as always. Fast forward a few days later when I received the credit card charge for $2 more than the bill. You might be thinking it's only $2 but that's $2 that was stolen after I already left a $2 cash tip that I didn't have to leave as it's an order and go establishment not a sit down dining experience. On Monday, March 27 I spoke with the manager who at first wanted me to believe it was an honest mistake but realized that I wasn't letting this go and so he agreed to refund me the $2. I went after work from Midtown to the 14th street location only to find that the manager had already left for the day. I spoke with another employee who was aware of the situation and explained that the manager had credited me the full amount. I called my credit card company before leaving Artichoke and was told it could take a week or more before I would receive the credit. It is now April 6 and no credit has been received. So not only was I the victim of being stolen from but also lied to and inconvenienced by the store manager. Again, the pizza is amazing but do you want to support an establishment that steals from and lies to its customers? I for one do not. Attached is a photo of the receipt and my credit card charge.",2,0,0,0,,
14,LoveMama,Emily L. D.,"Rockville Centre, NY",5,"May 16, 2024",no,0,7,19,no,1 photo,,"The food was so delicious and authentic. Very fast service, and they are very polite! It looks very low key from the outside but can confirm they are killing it in the kitchen :)  I got the pad kee mao YUM and my partner got the pad see eew with chicken. Ugh yummy!",0,1,0,0,,
710,Artichoke Basille’s Pizza,The G.,"Totowa, NJ",2,"May 17, 2024",no,0,3,0,no,,,"Based on reviews here we tried Artichoke Basille.
First: a Hole in the wall place with no seating (or restroom)
Second: the ""artichoke"" pizza topping was essentially tasteless white glop with a few pieces of spinach and even fewer pieces of artichoke mixed in. The glob reminded me of the cheap crema used in Mexican fast food (at least places nowhere near Mexico). Just awful!  Having lived in the SF Bay Area for 30 years, my wife and I know artichokes and artichoke pizza. Never again here.
Third: place was not busy. One one customer besides us at 4:30 pm on a weekday, yet counter guy was inattentive.
Fourth: very pricey! $22 for two slices and two cans of coke.
On the good side: the slices were about 50% larger than average NYC neighborhoods slices. And my wife got a pepperoni/sausage slice which was not bad. For that pie they used the standard Stanislaus 7-11 tomato sauce. Yes we are pizza connoisseurs and know the ingredient sources for many of the NY joints.
Overall, I'd give this place a pass. At least, stay away from that ""signature"" pie!",0,0,0,0,,
113,Amy Ruth’s,Flavellar J.,"New York, NY",1,"Apr 14, 2024",no,0,5,0,no,,,Their food has fallen off! They aren't seasoning their food anymore and it tastes bland!!! The smothered pork chops were my favorite! THEY ARE NOT CENTER CUT PORK CHOPS ANYMORE!!!! So SAD!!!!,0,0,0,0,,
522,The Halal Guys,Matthew L.,"North Haven, CT",5,"Mar 4, 2024",no,342,653,8239,no,9 photos,,"The Halal Guys is a Halal street food cart and restaurant chain that launched in Manhattan, New York in 1990. It was founded by Egyptian immigrants Mohamed Abouelenein, Ahmed Elsaka and Abdelbaset Elsayed. The three partners traveled to the United States in the 1980s with hopes for a better life and dreams of entrepreneurial success. They first started off with a hot dog food cart. By 1992 they had switched to an option that no one else was tackling: authentic Halal food! They initially catered to Muslim taxi drivers who had few options for Halal cuisine. It wasn't long before a much more diverse clientele was going crazy for the Halal Guys' delicious platters of chicken and gyro over rice, falafel, pita and famous white sauce. Although Halal food vendors can now be found all over New York City, it was the Halal Guys who originated the craze. More food carts would pop up around the city before the partners turned their attention to franchising brick & mortar locations. As of 2024, there are well over 100 Halal Guys locations spread out over five countries... but the food carts can still be found at the intersection of W 53rd Street and 6th Avenue in Manhattan. 
My family and I have been enjoying the Halal Guys' delicious food for many years now. We were very excited when a brick & mortar location opened in my home of New Haven in 2016. I visited many times until it closed in 2021 due to water damage from a burst pipe. I anxiously await the day that a new location opens in Connecticut. My family and I recently visited the original location in NYC. After a long day exploring in the city, we wanted to grab some dinner to take with us on the train back to Connecticut. When we saw the food carts, our minds were immediately made up. We decided to order and share two of their famous platters: one with falafel and one with chicken. As always, they tasted amazing; really hit the spot! We'll continue to be happy Halal Guys customers for years to come!",1,0,2,0,"Mar 4, 2024"," Thank you for the positive comments about The Halal Guys! We are lucky to have customers like you! If we can ever do anything to make your experience even better, feel free to contact us directly."
472,Buddakan,Julianna Y.,"New York, NY",4,"Jan 17, 2024",no,30,92,383,no,8 photos,,"Service: 4/5 
Great service, slightly a bit slow but everyone was accommodating. Just a fair warning if you have a reservation, you still might have to wait at least 20 mins for your table. 
What we ordered: 
Edamame Dumplings: 3/5 
So these are delicious, however I feel like they're lacking more flavor. The texture is chewy and delicious, tastes more like mashed potatoes dumplings. 
Chili Rock Shrimp: 4/5 
Decent amount, has a slight lack in flavor. Was expecting there to be a slight kick in the sauce, however there is nothing spicy about it. Paired this up with a side sauce that I ordered in addition where they mixed what seemed like chili paste and some Thai sweet chili. Would highly recommend asking for those sauces if you order this dish! 
Mongolian Lamb: 5/5 
Lamb was cooked perfectly!! The sauce added was also delicious. Tasted like a sweet garlic. The bokchoy was also good, just interesting they chopped off the leafy part that most people consume. 
Tuna tar tar spring rolls: 4/5 
Delicious, fish tasted fresh, and paired so nicely with the   crunchy spring roll. 
Crying Chocolate: 5/5 
I'm not a huge dessert fan, but this was exquisite! I loved that the lava cake was paired with Vietnamese coffee, and the coffee crumble worked so well with one another. Would order again! So many unique textures and flavors combined with each other. 
Ambiance: 5/5 
Beautifully decorated ambiance. Didn't get a chance to sit downstairs which was brighter and prettier, but perhaps next time when I have a bigger party. The vase shaped doors/rooms were also a nice touch",1,1,1,0,,
783,Artichoke Basille’s Pizza,Seana R.,"Venice, CA",1,"May 14, 2023",no,3,103,73,no,,,Absolute trash. It was the heaviest pizza ever. Horrible tasted liktrashhhhhhhhhhhhhhh,1,0,1,0,,
909,Di Fara Pizza,B T.,"New York, NY",5,"Apr 13, 2024",no,151,6,0,no,,,"Best pizza in NYC! It's worth the wait. If you want a whole pizza, you can call 20-25 minutes in advance for pick up.",0,0,0,0,,
919,Di Fara Pizza,J W.,"Annandale, NJ",5,"Feb 29, 2024",no,26,244,239,no,3 photos,,"Absolutely lived up to the hype. Every accolade is well deserved. Easily one of the best, if not the best slice I have ever had. Amazing crisp crust that stands straight out at attention without being too tough. Incredible snap when you bite into it. Great crust around the edge. You can hear how awesome it is from across the table. The sauce and cheese are delicious and in the proper proportion. Very fun old-school vibe. Just a great outing. Cannot wait to go back. I don't care how long the subway ride is.",0,0,1,0,,
718,Artichoke Basille’s Pizza,Kristen H.,"Jersey City, NJ",4,"Mar 16, 2024",no,522,184,1844,no,,,"The artichoke pizza is so delicious and addicting. Thank goodness the slices are so big!! lol.
I almost wish they could just make a side artichoke dip, the sauce is that good.
Highly recommend the pepperoni vodka slice as well.
I haven't been here in-person yet, but it's nice having such a delicious late-night delivery option when pizza is needed!",1,0,0,0,,
538,The Halal Guys,Javier C.,"Kearny, NJ",4,"Dec 19, 2023",no,10,4,8,no,3 photos,,"Pretty damn good food! I try something new almost every week, and it's got flavor, plus these dishes are packed with fiber.. so, you gonna stay regular ;) Line can be long af sometimes but it's truck food in the city what do you expect",0,0,0,0,"Dec 19, 2023"," Thank you for the positive comments about The Halal Guys! We are lucky to have customers like you! If we can ever do anything to make your experience even better, feel free to contact us directly."
572,The Halal Guys,Edward M.,"Princeton, NJ",5,"Aug 27, 2023",no,13,117,15,no,,,"Adel's vs Halal Guys... Adel's probably wins, BUT Halal Guys holds up very well.  While my wife waited in the line Adel's, I waited in the one here for Halal Guy's food. I the ended up getting this one first and eating it in the line for Adel's haha! But it was delicious.  Absolutely no complaints about the flavor or the service.  The difference is just that Adel's uses magic chicken which is hard to come by these days.",1,0,2,0,"Aug 28, 2023"," Hi Edward, thanks for the 5-star review! We appreciate you taking the time out of your day to rate The Halal Guys."
501,The Halal Guys,Stephanie A.,"Doral, FL",5,"Jun 7, 2024",no,636,61,90,no,1 photo,,I came to NYC craving this platter! Loving that they put the sauce on the side so the lid doesn't mess it up. The chicken was flavorful and the beef was pretty good. Service was great. Had to wait in line but who doesn't love the food smells while you wait!,0,0,0,0,"Jun 9, 2024","Hi Stephanie, thank you for the positive comments. We are so happy you enjoyed your meal at The Halal Guys and look forward to seeing you again!"
