restaurant_name,Name,Profile Location,Score,Date,Elite 24,Friends,Reviews,Photos,reserved,pictures,checkin,Comment,Helpful,Thanks,Love this,Oh no,Reply Date,Reply Content,topics
LoveMama,Karanbir G.,"New York, NY",1,"Mar 4, 2024",no,0,1,0,no,,,I have never had Thai/ Malaysian food this bad. They served us the food within the minute we ordered. I am 100% certain it was premade heated-up food. Chicken Satay was extremely oily. Mango Smoothie was literally flavoured shaved ice. Fried Tofu Vegetables were almost uncooked. Safe to say we didn't end up eating anything and left the place hungry. Who serves food in disposable plastic plates at a restaurant? This is the first time I am disappointed in Yelp reviews.,0,0,0,0,,,"- Category: Food Quality
  - Description: Food quality was extremely poor, with oily Chicken Satay, flavorless Mango Smoothie, and undercooked Fried Tofu Vegetables.
  - Attitude: Unsatisfied

- Category: Cleanliness
  - Description: Food was served in disposable plastic plates, indicating low cleanliness standards.
  - Attitude: Unsatisfied

- Category: Ambiance
  - Description: Not explicitly mentioned in the review.
  - Attitude: Not Applicable"
LoveMama,Ezra V.,"Lake Mary, FL",5,"Mar 3, 2024",no,270,4,4,no,3 photos,,The chef served amazing food. The laske is the best. We are from Orlando and will come back,1,0,0,0,,,"- Category: Food Quality
  - Description: The chef served amazing food. The lasagna is the best.
  - Attitude: Satisfied"
LoveMama,Mack A.,"Fremont, CA",5,"Mar 2, 2024",no,93,331,285,no,,,"first time here cost of the online rating 
Mama papa shop 
service 5/5
food 4/5 
thai tea 4/5 
over all was not bad for the price level",0,0,0,0,,,"- Category: Food Quality
  - Description: Food quality rated 4 out of 5.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Service rated 5 out of 5.
  - Attitude: Highly satisfied

- Category: Value for Money
  - Description: Overall experience was not bad for the price level.
  - Attitude: Satisfied"
LoveMama,Dylan M.,"New York, NY",5,"Mar 1, 2024",no,0,4,0,no,,,Great food at a great price. The interior is very modest - plastic plates and cups even - but the food is top notch.,0,0,0,0,,,"- Category: Food Quality
- Description: Great food at a great price.
- Attitude: Satisfied

- Category: Ambiance
- Description: The interior is very modest - plastic plates and cups even.
- Attitude: Not satisfied"
LoveMama,Tina T.,"Brooklyn, NY",5,"Feb 26, 2024",no,27,127,168,no,,,"Came here on a Monday evening and was able to snag a spot. Decor is very homey and they have Thai, Vietnamese, and Malaysian food. 
I got the Nasi Lemak and it was really good! Spicy and flavorful!",1,1,0,0,,,"- Category: Food Quality
   - Description: The reviewer enjoyed the Nasi Lemak dish, describing it as really good, spicy, and flavorful.
   - Attitude: Satisfied"
LoveMama,Prisca S.,"East Village, Manhattan, NY",5,"Feb 26, 2024",no,0,1,0,no,,,"My favorite spot - service is so quick and friendly, food is incredible, and it's so cozy",0,0,0,0,,,"- Category: Customer Service
  - Description: Service is quick and friendly.
  - Attitude: Satisfied

- Category: Food Quality
  - Description: Food is incredible.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: It's so cozy.
  - Attitude: Satisfied"
LoveMama,Sarah L.,"Boston, MA",5,"Feb 26, 2024",no,0,2,0,no,,,"Service is amazing and the workers are so nice! Their chili paste slaps and the rendang nasi lemak was super tender and flavorful. I'm pretty sure they make everything in house so the flavors were amazing. Shrimp curry laksa had a great texture and flavor, super rich! Very homey vibe to the place as well!",0,0,0,0,,,"- Category: Food Quality
  - Description: Dishes like chili paste, rendang nasi lemak, shrimp curry laksa are highlighted in the review as flavorful, tender, and rich.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: The review mentions a ""very homey vibe"" at the restaurant.
  - Attitude: Satisfied"
LoveMama,Deeps S.,"Long Beach, CA",3,"Feb 26, 2024",no,4,105,248,no,1 photo,,"Convinced my friends to try Lovemama (over Soothr) due to the volume of positive ratings on Yelp but here are my honest thoughts:
We got there late afternoon and the restaurant was deserted. We ordered the red curry and the pad kee mao (both vegetarian), was really surprised that both items came out in plastic containers! Our entrees were served in togo containers and styrofoam plates. This is not what I was expecting. The food was decent but nothing out of the ordinary. Was honestly shocked for the prices we paid that we got plastic/styrofoam plates with no explanation. Going to give this spot a 2 for service but rounding to 3 as the food was decent. Next time will be checking out Soothr.",0,1,0,0,,,"- Category: Food Quality
  - Description: Food was decent but nothing out of the ordinary.
  - Attitude: Neutral

- Category: Customer Service
  - Description: Ordered items came out in plastic containers and styrofoam plates, which was unexpected and disappointing.
  - Attitude: Dissatisfied

- Category: Ambiance
  - Description: Restaurant was deserted when visited late afternoon.
  - Attitude: Neutral"
LoveMama,Gabo F.,"Plantation, FL",5,"Feb 24, 2024",no,0,1,0,no,,,"Been coming here for 3 years, and it's a go to for delicious and affordable dinners. Menu has range and the dishes are pretty consistently delicious. The owners are nice and keep the place running efficiently, always quick service. Weekdays it's a little calmer, much less people than on the weekends. Cute atmosphere, great for vegetarians and allergen accommodations.",0,0,0,0,,,"- Category: Food Quality
  - Description: Menu offers a range of dishes that are consistently delicious.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: The owners are nice and provide quick service.
  - Attitude: Satisfied

- Category: Cleanliness
  - Description: Not mentioned in the review.
  - (Not discussed)

- Category: Ambiance
  - Description: Described as cute atmosphere, great for vegetarians and allergen accommodations.
  - Attitude: Satisfied"
LoveMama,Judy S.,"New York, NY",4,"Feb 24, 2024",no,31,9,2,no,1 photo,,Tasty no frills perfection . Really enjoyed this quick service simple spot. Definitely recommend.,0,0,0,0,,,"- Category: Food Quality
  - Description: Tasty no frills perfection.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Quick service simple spot.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: Not mentioned
  - Attitude: Not applicable

- Category: Value for Money
  - Description: Definitely recommend.
  - Attitude: Satisfied"
LoveMama,Emily L.,"Elmhurst, New York, NY",5,"Feb 22, 2024",no,2,4,2,no,1 photo,,"I've gone here twice and it's a staple for Thai food but also has Vietnamese and Malaysian food on the menu. I ordered the pad thai (delicious, good portions and flavorful) but my friends said that the other foods such as pad kee mao, pad see ew, curry laksa, and fried rice are good as well. The owners are super friendly, the service is fast, and the pricing is very fair ($12 lunch specials and $14 dinner prices). The ambiance inside the store is cozy and decorated with cultural elements that attest to the authenticity of the restaurant. This place is worth checking out",0,0,0,0,,,"- Category: Food Quality
  - Description: Pad thai, pad kee mao, pad see ew, curry laksa, fried rice are good.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Owners are super friendly, service is fast.
  - Attitude: Satisfied

- Category: Value for Money
  - Description: $12 lunch specials, $14 dinner prices.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: Cozy, decorated with cultural elements.
  - Attitude: Satisfied"
LoveMama,Tedd J.,"Evanston, IL",1,"Jun 17, 2024",no,24,1,15,no,,,"Noodle soup, smell bad & cold
A lotttttttt of fly in the store. 
Egg roll & fried rice taste like old food...
I really don't understand how they get that much reviews.
Really exactly waist money today.",0,0,0,0,,,"- Category: Food Quality
  - Description: Noodle soup, egg rolls, and fried rice tasted old and bad.
  - Attitude: Dissatisfied

- Category: Cleanliness
  - Description: A lot of flies in the store.
  - Attitude: Dissatisfied

- Category: Value for Money
  - Description: Reviewer felt like it was a waste of money.
  - Attitude: Dissatisfied"
LoveMama,Mike B.,"Los Angeles, CA",5,"Jun 15, 2024",no,0,11,0,no,,,"Incredible food, and the staff was amazing. Loved the no frills environment. Went with my two kids, and we all had a great experience.",0,0,0,0,,,"- Category: Food Quality
  - Description: Incredible food
  - Attitude: Satisfied
  
- Category: Customer Service
  - Description: The staff was amazing
  - Attitude: Satisfied
  
- Category: Ambiance
  - Description: Loved the no frills environment
  - Attitude: Satisfied
  
- Category: Kids or Pets Friendly
  - Description: Went with my two kids, and we all had a great experience
  - Attitude: Satisfied"
LoveMama,Lisa M.,"Bronx, Bronx, NY",4,"Jun 15, 2024",no,0,68,4,yes,,,"Good food but service could be better. Older woman was not friendly at all. Snatched menu out of my hand and was quick to give me the check as if she was rushing for me to go. 
The rest of the staff are very nice and the owner so polite. Food has a home cooked meal flair to it.  Reasonable prices. Will return soon.",0,0,0,0,,,"- Category: Customer Service
  - Description: Older woman server was unfriendly, snatched the menu, rushed service.
  - Attitude: Dissatisfied

- Category: Food Quality
  - Description: Food has a home cooked meal flair, good quality.
  - Attitude: Satisfied

- Category: Value for Money
  - Description: Reasonable prices.
  - Attitude: Satisfied"
LoveMama,Grace H.,"Norco, CA",5,"Jun 11, 2024",no,141,13,6,no,,,Pretty amazing food . Very reasonable price . Super friendly owner . Good service . Kind warm hearted couple run the business . Will definitely back .,0,0,0,0,,,"- Category: Food Quality
  - Description: Pretty amazing food.
  - Attitude: Satisfied

- Category: Value for Money
  - Description: Very reasonable price.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Super friendly owner, good service, kind warm-hearted couple run the business.
  - Attitude: Satisfied"
LoveMama,Lynn P.,"Los Angeles, CA",5,"Jun 3, 2024",no,0,3,0,yes,,,All the food we ordered was tasty and the service was 11/10! I'd definitely love to visit again :),0,0,0,0,,,"- Category: Food Quality
  - Description: All the food we ordered was tasty.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: The service was 11/10!
  - Attitude: Very satisfied"
LoveMama,Andrew S.,"New York, NY",5,"Jun 1, 2024",no,3,27,2,yes,,,"Food is on point and prices are reasonable. A nice change from the ""fancy"" Thai places popping up all over NYC. Service is quick. Tables were a bit sticky(?) so minus 0.5 stars, but round up to 5.",0,0,0,0,,,"- Category: Food Quality
  - Description: Food is on point and prices are reasonable.
  - Attitude: Positive
  
- Category: Cleanliness
  - Description: Tables were a bit sticky.
  - Attitude: Neutral to Negative"
LoveMama,Adrian T.,"CA, CA",5,"May 31, 2024",no,0,2,2,no,1 photo,,"Nicest servers ever! Pad See Ew is very very good, definitely recommend! The food was very good and reminded me of food back home, the lunch combo is a steal as well for only 12 dollars from 12-3",0,0,0,0,,,"- Category: Food Quality
  - Description: Positive feedback on Pad See Ew and overall food taste.
  - Attitude: Satisfied

- Category: Value for Money
  - Description: Praise for the lunch combo being a good deal at $12 from 12-3.
  - Attitude: Satisfied"
LoveMama,Dr Rahim F.,"Medford, OR",5,"May 31, 2024",no,5,43,3,yes,,,Absolutely fantastic Indonesian and Thai food. The taste of both worlds was absolutely perfect. Nothing to complain about. The fast service was a plus. The service was excellent and above and beyond anything I'm used to. Thank you to everyone there for taking us when we were late to our reservation. Really enjoyed this food and looking forward to coming back here again in the future we're back in New York.,0,0,0,0,,,"- Category: Food Quality
  - Description: Absolutely fantastic Indonesian and Thai food, perfect taste of both worlds.
  - Attitude: satisfied

- Category: Customer Service
  - Description: Service was excellent, above and beyond, fast service, thankful for accommodating late reservation.
  - Attitude: satisfied

- Category: Ambiance
  - Description: Not mentioned in the review.
  - Attitude: N/A

- Category: Value for Money
  - Description: Not mentioned in the review.
  - Attitude: N/A"
LoveMama,Christy L.,"Flushing, NY",3,"May 29, 2024",no,10,94,298,no,5 photos,yes,"Friendly staff but they keep 
forgetting utensil other than 
Place is alright 
Food taste great 
Around $62 without tax 
Food presentation don't good ..",1,1,1,0,,,"- Category: Customer Service
  - Description: Friendly staff but they keep forgetting utensils.
  - Attitude: Neutral

- Category: Food Quality
  - Description: Food taste great.
  - Attitude: Satisfied

- Category: Cleanliness
  - Description: Place is alright.
  - Attitude: Neutral

- Category: Value for Money
  - Description: Around $62 without tax.
  - Attitude: Neutral

- Category: Ambiance
  - Description: Food presentation doesn't look good.
  - Attitude: Dissatisfied"
LoveMama,Minoti P.,"New York, NY",5,"May 27, 2024",no,0,11,0,no,,,I very much enjoyed the service and thought the food was very reasonably priced and tasty!  Highly recommend the roti and satay.,0,0,0,0,,,"- Category: Food Quality
  - Description: Roti and satay were tasty.
  - Attitude: Positive

- Category: Value for Money
  - Description: Food was reasonably priced.
  - Attitude: Positive

- Category: Customer Service
  - Description: Service was very enjoyable.
  - Attitude: Positive"
LoveMama,曾晨,"West Covina, CA",5,"May 26, 2024",no,4,3,4,no,2 photos,,Food are so good. The fried nanm kind of thing is the best. Eat it all without any left,0,0,0,0,,,"- Category: Food Quality
  - Description: Food quality is praised, particularly mentioning the fried nanm dish.
  - Attitude: Satisfied"
LoveMama,Dilano M.,"Brooklyn, Brooklyn, NY",5,"May 21, 2024",no,45,2,0,no,,yes,very good food. felt like home. owners were very very attentive. they timed all the food we wanted so that it would arrive when we wanted it. he over heard we wanted roti and put it in when we forgot to tell him. all food came out piping hot. very delicious!,0,0,0,0,,,"- Category: Food Quality
  - Description: Food was very delicious and piping hot.
  - Attitude: Very satisfied

- Category: Customer Service
  - Description: Owners were very attentive and timed the food well.
  - Attitude: Very satisfied

- Category: Order Accuracy and Efficiency
  - Description: Owner overheard customer's request for roti and included it in the order without being told.
  - Attitude: Very satisfied"
LoveMama,Dianna H.,"Oakland, CA",3,"May 21, 2024",no,157,1507,8609,yes,9 photos,,"It pains me to give this restaurant 3 stars since it's a small mom and pop joint, but all the food felt extra oily, they got our order wrong, and we all thought the service could be improved.
I needed to make a relatively last minute reservation for Mother's Day lunch, and I was pleasantly surprised that LoveMama had plenty of slots available just a couple days beforehand.
When my party of 4 arrived on Sunday at 11:30, I was surprised to see the whole restaurant was empty. We were the first party seated. It gradually filled up, but it definitely wasn't nearly as busy as I thought it'd be for a restaurant in this location with so many reviews on Yelp.
Maybe it's because we came on a rainy day, but most of the restaurant felt very dim even at 11:30 am. We sat at the table closest to the window for maximum light. 
They offer a good selection of Thai, Vietnamese, and Malaysian appetizers and entrees at a very affordable price point. I was particularly impressed by their $12 weekday lunch combo, which comes with one appetizer + entree.
I shared with one other friend and the rest got their own food. We shared:
Roti canai planta ($7) - this is the first time I didn't love roti canai at a restaurant. The roti just felt extra oily and the lentil dip wasn't that tasty
Rendang nasi lemak with chicken ($15) - this is their most popular dish, so I knew we had to try it. The owner took our order and recommended we get it with chicken instead of beef, which is the usual meat. The chicken came with a lot of flavor, but we could barely taste the coconut in the coconut rice, and there wasn't nearly enough rice to go with the amount of chicken provided
Char kwa teow with beef (but not sure if we got pad see eew instead??) - we asked for this with beef and not spicy, and the first time we got the dish, it came with chili flakes all over it and had chicken. I would've let the chicken slide, but I'm a wimp when it comes to spice and one bite of the dish had my mouth burning, so we let the owner know and he quickly came back with a non-spicy beef noodle dish. All's well that ends well, right....
HOWEVER, when we checked the bill at the end of the meal, we realized he entered Pad See Eew into their ordering system, so I'm pretty sure we got pad see eew rather than char kwa teow. Very disappointed that they got the order wrong. No wonder the noodles were on the sweeter side; I was very confused by the sweetness.
My two other friends ordered the pad thai and both enjoyed their noodles. I think that's the dish to get here.",1,0,1,0,,,"- Category: Food Quality
  - Description: The food felt extra oily, the roti canai was not tasty, the coconut rice didn't have enough coconut flavor, and the pad see eew was mistakenly served instead of char kwa teow.
  - Attitude: Dissatisfied

- Category: Customer Service
  - Description: The service was thought to be needing improvement, the order was wrong, and there was confusion with the dishes ordered.
  - Attitude: Dissatisfied

- Category: Ambiance
  - Description: The restaurant felt dim even during daytime, and the initial emptiness surprised the reviewer for a popular location.
  - Attitude: Neutral

- Category: Value for Money
  - Description:"
LoveMama,Rita R.,"Willow Grove, PA",5,"May 18, 2024",no,1,16,62,no,3 photos,,Walked past here and were enamored by the amazing smell. We came in and had the most lovely meal. Everything was amazing and so flavorful. Will definetly be back here!! 10/10. The owner was so funny and sweet too!,0,0,0,0,,,"- Category: Food Quality
  - Description: Lovely and flavorful meal.
  - Attitude: Satisfied
  
- Category: Customer Service
  - Description: Owner was funny and sweet.
  - Attitude: Satisfied"
LoveMama,Emily L. D.,"Rockville Centre, NY",5,"May 16, 2024",no,0,7,19,no,1 photo,,"The food was so delicious and authentic. Very fast service, and they are very polite! It looks very low key from the outside but can confirm they are killing it in the kitchen :)  I got the pad kee mao YUM and my partner got the pad see eew with chicken. Ugh yummy!",0,1,0,0,,,"- Category: Food Quality
  - Description: The food was described as delicious and authentic.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: The service was very fast and the staff members were polite.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: The exterior appears low key, but the food quality indicates that they excel in the kitchen.
  - Attitude: Satisfied"
LoveMama,Brian P.,"Fort Lauderdale, FL",5,"May 11, 2024",no,24,18,14,no,2 photos,,Amazing owner here. Always having fun conversations when we stop by. Service is very quick and food is well priced. Definitely recommend stopping by,0,1,0,0,,,"- Category: Customer Service
  - Description: Having fun conversations with the owner.
  - Attitude: Positive

- Category: Order Accuracy and efficiency
  - Description: Service is very quick.
  - Attitude: Positive

- Category: Value for Money
  - Description: Food is well-priced.
  - Attitude: Positive"
LoveMama,Thomas J.,"Jersey City, NJ",5,"May 9, 2024",no,0,2,0,no,,,Great food with dished from Malaysia and Singaporeans but also Thailand and Vietnam. Owner is friendly and hospitable.,0,0,0,0,,,"- Category: Food Quality
  - Description: Dishes from Malaysia, Singapore, Thailand, and Vietnam.
  - Attitude: Positive"
LoveMama,Tony Y.,"OAKLAND GARDENS, NY",5,"May 5, 2024",no,0,48,6,yes,,,"My fiancé and I stopped in for a quick lunch on April 20th and were surprised that it was empty besides just one other table. We ordered the roti canai and beef rendang.  Both incredibly delicious, best roti canai I've ever had and the food came out very quickly. The owner came over to ask how our meal was and was very kind. This was a late lunch on our way to a family dinner which is why we didn't order much so my fiancé ordered the curry laksa to go. She orders laksa whenever she sees it in the US since it's so rare to find on a menu and I'm so happy she did. We ate it the next day and it was amazing! Highly recommend it. We're making Love Mama a must-eat whenever we're in the city from now on.",0,0,0,0,,,"- Category: Food Quality
  - Description: Roti canai and beef rendang were incredibly delicious, with the roti canai being the best ever tasted.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: The owner came over to ask how the meal was and was very kind.
  - Attitude: Satisfied

- Category: Menu Choice
  - Description: Limited mention of menu items like roti canai, beef rendang, and curry laksa.
  - Attitude: Satisfied"
LoveMama,Joe H.,"West Orange, NJ",5,"May 4, 2024",no,1,13,7,no,,,"Good food!!!!!!
Spicy and authentic 
It's really cool and owner is friendly, and curry laksa is really filling",0,0,0,0,,,"- Category: Food Quality
  - Description: Spicy and authentic dishes.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Owner is friendly.
  - Attitude: Satisfied"
LoveMama,Annie L.,"Portland, OR",5,"May 2, 2024",no,0,1,0,no,,,Very cozy relaxed ambiance and delicious food. The workers were so friendly and kind.,0,0,0,0,,,"- Category: Ambiance
  - Description: Very cozy relaxed ambiance.
  - Attitude: satisfied

- Category: Food Quality
  - Description: Delicious food.
  - Attitude: satisfied

- Category: Customer Service
  - Description: The workers were so friendly and kind.
  - Attitude: satisfied"
LoveMama,Greg K.,"Oakland, CA",4,"Apr 28, 2024",no,0,66,3,no,,,"Great food at relatively reasonable prices. Only reason for one less star is my stepmother was convinced that they added MSG to their dishes, which gave her a headache.",1,1,1,0,,,"- Category: Food Quality
  - Description: Step mother thought they added MSG to the dishes.
  - Attitude: Unhappy

- Category: Value for Money
  - Description: Great food at relatively reasonable prices.
  - Attitude: Happy"
LoveMama,Abhinav K.,"Jersey City, NJ",5,"Apr 28, 2024",no,0,1,0,no,,,"Great food that has a home cooked feel. Easy to get a table (which in NYC is rare!) and great service from a small mom&pop team! Highly recommend the Malaysian dishes. Perfect for a casual, simple yet satisfying meal.",0,1,0,0,,,"- Category: Food Quality
  - Description: Great food with a home cooked feel and highly recommend the Malaysian dishes.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Great service from a small mom&pop team.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: Perfect for a casual, simple yet satisfying meal.
  - Attitude: Satisfied"
LoveMama,Sophia C.,"Forked River, Forked River, NJ",4,"Apr 25, 2024",no,0,29,70,no,2 photos,,Great food and great prices. The passionfruit slush was great too. Service is quick and they have a great lunch special!,0,0,0,0,,,"- Category: Food Quality
  - Description: Great food and great prices, passionfruit slush was great.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Service is quick, great lunch special.
  - Attitude: Satisfied

- Category: Value for Money
  - Description: Great prices.
  - Attitude: Satisfied"
LoveMama,Holly F.,"Flushing, New York, NY",1,"Apr 21, 2024",no,0,6,0,no,,,What can you say?  Nasty people. Nasty food.  I hate that little kitchen wench with the awful loud squeaky voice.  No Education.  No class.  Keep her home.,0,0,0,0,,,"- Category: Customer Service
  - Description: Unpleasant experience with the staff, specifically mentioning a particular individual.
  - Attitude: Dissatisfied
  
- Category: Food Quality
  - Description: Negative feedback on the food served.
  - Attitude: Dissatisfied"
LoveMama,Jacky R.,"Manhattan, New York, NY",5,"Apr 20, 2024",no,0,55,52,no,1 photo,,"Came down to this no frill southeast Asian place while browsing for food in east village. Dishes are priced right for the portion, and taste great! We ordered the shrimp laksa and pork chop over vermicelli noodles. Enjoyed them a lot! Will love to go back and try some more dishes there again.",0,0,0,0,,,"- Category: Food Quality
   - Description: Dishes are priced right for the portion and taste great, specifically enjoyed the shrimp laksa and pork chop over vermicelli noodles.
   - Attitude: Satisfied

- Category: Value for Money
   - Description: Dishes are priced right for the portion.
   - Attitude: Satisfied"
LoveMama,Katrina P.,"San Leandro, CA",5,"Apr 20, 2024",no,0,6,13,no,,,"Just had lunch here with my husband. We tried the grilled chicken vermicelli bowl, chicken pad see ew and a Vietnamese coffee. The food arrived quickly and was fresh and flavorful. The coffee was well balanced and not too sweet.",0,0,0,0,,,"- Category: Food Quality
  - Description: Grilled chicken vermicelli bowl, chicken pad see ew, and Vietnamese coffee were fresh and flavorful.
  - Attitude: Satisfied

- Category: Order Accuracy and Efficiency
  - Description: The food arrived quickly.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: Not mentioned in the review.
  - Attitude: N/A"
LoveMama,Laura W.,"Flushing, NY",5,"Apr 18, 2024",no,68,22,51,no,6 photos,,"Good was great and service was great. Loved the drunken noodle, forgot to take a pic of the dish though...lol!",0,0,0,0,,,"- Category: Food Quality
- Description: Good was great, especially the drunken noodle dish.
- Attitude: Satisfied

- Category: Customer Service
- Description: Service was great.
- Attitude: Satisfied"
