,restaurant_name,Name,Profile Location,Score,Date,Elite 24,Friends,Reviews,Photos,reserved,pictures,checkin,Comment,Helpful,Thanks,Love this,Oh no,Reply Date,Reply Content
450,Buddakan,Tamara D.,"Queens, Queens, NY",5,"Feb 29, 2024",no,82,5,2,no,,,"The Asian restaurant impressed with its delicious food, cozy ambiance, and attentive service. Robin, our server, was friendly and efficient, while manager Dragana ensured a smooth dining experience. Overall, a great spot for satisfying Asian cuisine.",0,0,0,0,,
723,Artichoke Basille’s Pizza,Kathleen L.,"Orange, TX",5,"Feb 19, 2024",no,96,8,13,no,4 photos,,Absolutely amazing. I can't believe there wasn't a line out the door. We had the artichoke and pepperoni pizza and it was just incredible! And the slices were MASSIVE. Service was great also.,0,0,0,0,,
872,Red Hook Lobster Pound,Amanda T.,"New York, NY",2,"Apr 17, 2016",no,0,41,2,no,,,Fun place with good food but the slowest service ever. We were disappointed to wait 30 minutes for our lunch.,0,0,0,0,"Apr 28, 2016","Amanda,
I am sorry that you had such a long wait time. As we move into our busier season we are training new staff. I am glad that you liked the food. Please try us again.
Susan"
291,L & B Spumoni Gardens,Rhea B.,"Bay Shore, NY",2,"Dec 1, 2023",no,11,56,4,no,,,"Have heard of this place for so many years. We were so excited to go. My only question is why? Really not worth going. Pizza slices came out slightly burnt with a crust like cardboard. Had spaghetti and meatballs. Can only say the sauce was terrible, and the meatballs were worse.  Servers were nice, but there was only one of them. For the entire place, the rest were busboys. I will say their Parmesan cheese was absolutely delicious. Best ever.",0,0,0,0,,
949,Di Fara Pizza,Melanie R.,"Scottsdale, AZ",5,"Nov 18, 2023",no,204,10,8,no,,,"Heaven.  Life changing pizza. Worth the trip, but recommend during the weekday since weekends can get pretty busy and there is usually a wait.",0,0,0,0,,
290,L & B Spumoni Gardens,Joseph M.,"East Northport, NY",5,"Dec 4, 2023",no,10,125,63,no,1 photo,,"It's a little out of the way but well worth the trip. You can tell by the number of cars double-parked out front. For my money, L&B has, hands down, the best Sicilian slice in the city -- A thick crispy/chewy crust topped with a thin layer of mozzarella that's topped with their fresh, bright tasting tomato sauce.  The pizzaiolos are constantly turning out pies so I've never had to wait long. They have lots of outdoor tables when the weather's nice. But I don't let the forecast deter me. We slide the seats back and eat in the car. Been there more times than I can remember and I've never been disappointed. You won't be either. This is definitely one to put your pizza bucket list.",0,0,0,0,,
32,LoveMama,Jake M.,"Pittsburgh, PA",5,"Apr 7, 2024",no,304,3,0,no,,,"Great place great service. Only place in the neighborhood that you can get something of this quality, and at a very reasonable price.",0,0,0,0,,
28,LoveMama,May W.,"Flushing, NY",4,"Apr 17, 2024",no,11,164,386,no,,yes,"You can  tell this restaurant has been here for a while, the owners are older couple Malaysian Chinese . they serve food on plastic plate and drinks on plastic cups. 
The lunch special is only $12. a good bargain and the food is very tasty. I recommend this place.",0,0,0,0,,
512,The Halal Guys,Andrew G.,"Dayton, OH",5,"Apr 30, 2024",no,9,200,329,no,1 photo,,Wonderful gyro from a very professional food truck. The prices are so reasonable as well.,0,0,0,0,"Apr 30, 2024", Thank you for taking the time to write a review about The Halal Guys! We are happy to have you as a customer!
614,Ippudo NY,Bailey R.,"Houston, TX",5,"Apr 7, 2024",no,376,300,385,no,3 photos,yes,"Our entire experience was phenomenal! 
I do not like ramen, but I tagged along with my husband and our friends because they all love ramen. Our friend ordered an Ippudo Veggie Bun for each of us (we're all vegetarian) which he raved about and boy, was he right!! I'd never had one of these before but now I'm excited to come back to this restaurant, just so I can eat more of these!! I had two of them and some edamame while everyone else enjoyed their ramen. 
They have 3 vegetarian ramen options for those who want to enjoy ramen without having to worry about meat. Apparently they recently changed their menu as our friend's favorite ramen is no longer on the menu, but all of the ramen eaters at my table really enjoyed what they ordered!
The ambience is low lighting with beautiful decor throughout the restaurant. The service was excellent! We were quickly taken care of by the friendly staff. 
Also, they have a very unique way of greeting guests as they are being seated! I won't spoil it, but will instead tell you to try this place to find out for yourself!",0,0,1,0,,
454,Buddakan,Emma B.,"Lomita, CA",5,"Feb 20, 2024",no,0,4,4,no,1 photo,,Amazing service! We got sat almost right away upon arrival. Our server Alex was very attentive and was kind enough to go over the menu since it was my first time and one of the managers came by to check on us as well to make sure everything was going smoothly. The Black Cod was absolutely fantastic! Will definitely be coming back here,0,0,0,0,,
991,Di Fara Pizza,Nathaniel P.,"New York, NY",1,"Apr 20, 2023",no,824,321,1597,no,,,"TLDR: incredibly hard crust and extremely salty I needed to drink two bottles of water to recover.
I really do not understand the hype around this place; my friends and I were super excited to try one of the most highly ranked pizza places we saw online. Perhaps we went on an off-day, but the crust was so tough that it was actually a struggle to consume an entire slice of pizza, not just for me, but for my entire group of 4. I also could not believe how salty it was. Not sure why anyone would place this near the top of any sort of list.",5,2,2,2,,
897,Red Hook Lobster Pound,Johnson B.,"Manhattan, NY",1,"Aug 19, 2013",no,1,364,10,no,,,Went to this place a couple weeks ago. I couldn't believe how small the lobster roll was. It was like a mini hot dog roll size. I felt cheated. I recommend going anywhere else but here.,1,0,0,0,,
969,Di Fara Pizza,Sofya P.,"Los Angeles, CA",5,"Aug 4, 2023",no,38,430,1418,no,3 photos,,"It's been a while since I've gone, but just now getting to write a review. Looking at this Yelp account, I found out the beautiful older gentleman that was making the pizzas passed. RIP. I'm sure his spirit will live on and bless each pizza made because it was delicious!!! (Old photos).",0,0,0,0,,
202,L & B Spumoni Gardens,C S.,"Brooklyn, NY",4,"Jun 25, 2024",no,3,36,0,no,,,"Nothing compares to a summer afternoon at L&B a Sicilian (square) slice and some ice cream really is a perfect day.
The dining room is great too but lately hit or miss. Went recently and orders were totally screwed up on a second visit everything was perfect, most recently food was perfect but our group of 8 had all our entrees come out at different times. 
The artichoke appetizer is probably one of the best items on the menu, and the salads are all huge!!",0,0,0,0,,
899,Red Hook Lobster Pound,Margarita R.,"Philadelphia, PA",4,"Sep 17, 2021",no,134,299,925,no,2 photos,,"Visited Red Hook Lobster Pound on a week day for dinner with my fiancé. We reserved online for outside seating which was helpful since we have a pup and love taking him out to dinner with us but don't like to wait if all tables are taken. Just be aware, if you don't show for you reservation, they will charge you a fee. On to the food! For our appetizer round, we got the lobster cheese fries. These were phenomenal! Perfect amount of melt in your mouth lobster and delicious cheesy fries. For my main course, I had to go with the Maine style lobster roll. I traveled to Maine for work a lot so my expectations were high. Once again, the lobster was  fresh and melted in my mouth. The flavors were lacking a bit for my taste though. My fiancée had the crab dinner and thoroughly enjoyed the crab legs even though they were a bit difficult to crack open and on the smaller side. Overall our experience was good. We felt a little rushed by our waitress but she was nice and attentive.",1,0,1,0,,
452,Buddakan,David Y.,"Bayside, New York, NY",5,"Feb 23, 2024",no,5,38,145,no,,,"This place is so good I ate the crab fried rice and the dim sum tasting super yummy. 
Service was amazing 
Ambiance was really relaxing and quiet. 
My favorite was actually the the mocktail drinks ughhhhh I want more",0,0,0,0,,
16,LoveMama,Thomas J.,"Jersey City, NJ",5,"May 9, 2024",no,0,2,0,no,,,Great food with dished from Malaysia and Singaporeans but also Thailand and Vietnam. Owner is friendly and hospitable.,0,0,0,0,,
5,LoveMama,Andrew S.,"New York, NY",5,"Jun 1, 2024",no,3,27,2,yes,,,"Food is on point and prices are reasonable. A nice change from the ""fancy"" Thai places popping up all over NYC. Service is quick. Tables were a bit sticky(?) so minus 0.5 stars, but round up to 5.",0,0,0,0,,
36,LoveMama,Jazlyn H.,"Edmond, OK",5,"Mar 28, 2024",no,0,1,0,no,,,So so delicious and the staff was very friendly! (: Lots of indoor and outdoor seating.,0,0,0,0,,
390,Serendipity 3,Nirav S.,"Milwaukee, WI",5,"Jan 25, 2024",no,0,1,0,no,,,Great food. Kids loved the decor/ambiance. Had enough vegetarian choices for adults as well as kids. Desserts were amazing!  Would definitely go back.,0,0,0,0,,
659,Ippudo NY,Nabila M.,"Queens, NY",2,"Jan 4, 2024",no,0,31,3,no,,,Sorry I had better ramen than this restaurant. Service was decent but the ramen was not up to my expectations.,1,0,0,0,,
89,LoveMama,Greg K.,"East Harlem, New York, NY",4,"Jan 15, 2024",no,0,1,0,no,,,"Attentive service, very good well flavored food.  We had Thai dumpling s which were handmade with ground chicken.  Best i have had and reason that we came back to restaurant.  Summer rolls a never exciting for me.  Curry Laksa was excellent for a cold day. Pad See Eew was also well flavored.  All a repeat (except Summer roll).   Very Fair pricing (no cheap bargains anymore).  Simple ambiance.",0,1,0,0,,
893,Red Hook Lobster Pound,Martha D.,"Near North Side, Chicago, IL",5,"May 8, 2024",no,0,4,4,no,1 photo,,Omg one of the best lobster spots in nyc! Took the ferry from the lower east side just to try this place :D staff is so friendly and amazing environment,0,0,0,0,"May 10, 2024",Thank you so much for the lovely review! Please join us again. Claws up!
181,Amy Ruth’s,Gail L.,"West Henrietta, NY",5,"Apr 19, 2023",no,0,6,2,no,,,Great food and service! Waffles and chicken was delicious. My gf has smothered pork chops and she love it!,0,0,0,0,,
159,Amy Ruth’s,Natasha P.,"Sterling, VA",4,"Jul 17, 2023",no,382,379,796,no,5 photos,,We went to this restaurant in Harlem it was my first time in Harlem. The restaurant was clean as soon as we walked in the hostess was friendly and nice. There is paintings all over the walls of famous black performers. The service was prompt and good. The corn bread they gave us in the beginning was ok nothing amazing. The food was decent i did expect it to be more flavorful but overall it was good.,1,0,0,0,,
841,Red Hook Lobster Pound,Catherine M.,"Honolulu, HI",5,"Feb 13, 2013",no,351,72,33,no,,,"I've been here several times and the lobsters are meaty, cooked perfectly, and worth the 30 minute walk from the train station... until today we though. I showed up with a friend today and we were pissed to see the place closed. I called and snapped at them for not updating their Yelp post. A minute later while my friend and I were still standing outside, searching for another place to have lunch, lady walked out and asked if we had just called and that she wanted to give us gift certificates for a lobster roll for the inconvenience. Already, my friend and I felt a bit sheepish but were thankful for the gesture. And then the owners appeared and told us that it was impossible for them to close the hours on their Yelp post without appearing to be permanently closed and that they were closed because of the damages done by hurricane Sandy. 
:X
The gift certificates were not necessary and Michelle and I felt like ignoramus idiots for only remembering then that Red Hook was submerged in water during the devastation. We will definitely continue to recommend Red Hook as having the best lobster plate and rolls we ever had in New York City. They serve their lobsters in other venues throughout NYC as well so check them out. The price is lower than most establishments and fresh and delicious.",3,0,1,0,,
151,Amy Ruth’s,Simon P.,"New York, NY",4,"Aug 27, 2023",no,112,161,548,no,1 photo,,"I don't have much chance to come to the area often but visited this popular kitchen last weekend. Ordered the chicken waffle myself and my friend got the chicken with two sides. I love the flavours and texture of the waffle - very fluffy, buttery in flavours but not overpowering. The chicken comparatively is a bit on the dry side and I hoped it would be more juicy. Don't really like the mac and cheese as it is more on the soggy side, and also don't like the string beans having cilantro and onion mixed in it.",0,0,0,0,,
965,Di Fara Pizza,Fran D.,"SoMa, San Francisco, CA",5,"Sep 3, 2023",no,0,3,0,no,,,best service and food super happy and make it a regular,0,0,0,0,,
249,L & B Spumoni Gardens,Anthony G.,"Brooklyn, NY",5,"Feb 11, 2024",no,0,6,5,no,,,"Everything about this restaurant is top shelf and very reasonable. The portions are enormous, and they still have the best upside down Sicilian pie in the world.",0,0,0,0,,
651,Ippudo NY,Shikha H.,"Santa Clara, CA",5,"Jan 18, 2024",no,21,157,321,no,5 photos,,"Ippudo came highly recommended from several friends and it surely lived up to the hype. For years it was on my list and I am so glad I finally got to try it out in Nyc. This was my first dinner in the city and what a delicious way to start my vacation.
I had the Karaka Spicy Ramen and I absolutely loved it. The spicy mixture placed on top of the broth was the star of the dish for me. I enjoyed the chicken bun, chicken karaage and the Spicy Gyoza as well. The gyoza was my fav of all the appetizers.
I would definitely want to visit Ippudo again to try more dishes. I would recommend Ippudo to my vegetarian friends as well as the vegan ramen was equally delicious.
They do take reservations online so that's convenient. We came here on a Friday night with reservation and didn't have to wait too long to get our table.",0,0,0,0,,
607,Ippudo NY,Jenny H.,"New York, NY",3,"May 12, 2024",no,278,156,211,no,2 photos,,"It was a chilly Sunday and perfect day to have Ramen. We decided to visit Ippudo since it's been years since my last visit.
I was surprised there was no line and we were quickly seated at a communal table sharing with a couple and few individuals. The place is not large, classy and tight. The dining area has counter tops, communal tables and booths for groups. 
It took a bit of time for the server to finally arrive at our table to take out order. We decided to order takoyaki and 2 classic tonkasu style Ramen.
The food arrived without too much of a wait. The dough on the takoyaki was heavier & doughier than what I'm used to and missing the bonito flakes. Instead it haa what appears to be tempura crunchies but were greasy & not necessary. I was excited for the ramen because of the broth. I can't say I was wowed as I remembered. The ramen was chewy texture and grabbed the broth well. The broth was rock, deep and sweet. But somehow the toppings seem more skkmpier and everything is added for extra. Paid $3 for tomago (soy sauce egg). Overall it was good but for what I paid I had better with us competitors. And be ready to pay at least 20% tip though not quite sure lot of services was required to bring a could bowl of noodles. Think this is my last time visiting them.",2,0,0,0,,
782,Artichoke Basille’s Pizza,Aarti G.,"Pasadena, CA",5,"May 28, 2023",no,279,520,155,no,,,"I came with a group of friends and we tried a few different slices.  They were kind enough to cut the slices into squares that we could easily share.  We got artichoke, margarita, and a couple variations of Sicilian.  The Sicilian slices were my favorite.  The cheese was nice and gooey and the slice was crunchy.",1,0,1,0,,
10,LoveMama,曾晨,"West Covina, CA",5,"May 26, 2024",no,4,3,4,no,2 photos,,Food are so good. The fried nanm kind of thing is the best. Eat it all without any left,0,0,0,0,,
598,The Halal Guys,Andre S.,"Tacoma, WA",5,"Jun 6, 2023",no,0,55,91,no,,,Must if your in New York. Best flavor out of all the food trucks/carts. Tried a lot of the halal food trucks and these guys do it differently.,0,0,0,0,"Jun 6, 2023"," Hi Andre, thanks for the 5-star review! We appreciate you taking the time out of your day to rate The Halal Guys."
837,Red Hook Lobster Pound,Roderick W.,"Brooklyn, NY",1,"Sep 2, 2017",no,38,4,0,no,,,"I succumbed yesterday, to my regret. I bought a lobster roll in Red Hook at the Lobster Pound. The lobster pieces had a slight hint of staleness and seemed to be drawn from the claw, the least flavorable area of the lobster. The content barely filled a standard hot dog roll. The cost was $21 plus, an act which in any coastal New England town would have earned the seller a lengthy prison term. It should be noted that the owner is the daughter of Maury Povich who specializes in providing little or no content on his tv show--- his daughter honors that pedigree...",0,0,0,0,,
548,The Halal Guys,Lloyd D.,"FL, FL",5,"Nov 10, 2023",no,0,49,17,no,,,We went to the downtown Manhattan truck for the best food. Great gyros and fast service for a reasonable for New York City price. All you need.,0,0,0,0,"Nov 12, 2023"," Thank you for the positive comments about The Halal Guys! We are lucky to have customers like you! If we can ever do anything to make your experience even better, feel free to contact us directly."
610,Ippudo NY,Michael Y.,"New York, NY",4,"Apr 26, 2024",no,1176,562,1134,no,,yes,"Good ramen, quite salty honestly, and the broth is not as comforting as something like Ichiran. Noodles are good, the egg was a bit overcooked for my preference. It is not expensive here and you get a sort of contemporary cool-kid ramen, so don't expect something traditional. If you like spicy ramens this is a good place to be.",0,0,0,0,,
975,Di Fara Pizza,Joel R.,"West Orange, NJ",3,"Jul 7, 2023",no,34,4,0,no,,,Pizza was good. Not worth $5.00. I don't know if things changed since Dom is not running show. Place seemed very dirty.,0,0,0,0,,
627,Ippudo NY,Njeri T.,"New York, NY",5,"Mar 6, 2024",no,0,2,0,no,,,"IPPUDO NY is a must-visit for any ramen enthusiast in Manhattan. From the moment you step inside, you're greeted by a vibrant atmosphere and impeccable service. Love love the Nirvana Akamaru ramen!",0,0,0,0,,
421,Buddakan,Bunny L.,"Manhattan, NY",5,"May 13, 2024",no,3,105,14,no,,,"One of the best dining everyplace I've had in Manhattan. 
The ambiance is beautiful with theatrical lighting and a grand, dramatic dining hall. Smaller private rooms are off to the rides with cozy corners for smaller parties. 
The food is spectacular! Delicious quality and unique Asian fusion. Excellent quality, taste and so much to pick from. 
The service was excellent and have returned several times. This place is great for an intimate date or a special celebration.",0,0,0,0,,
63,LoveMama,Jan A.,"Old Bridge Township, NJ",5,"Feb 17, 2024",no,7,6,1,no,,,"The food...the vibe...and grandpa
Laksa was amazing and the rhoti was bomb. thank you for the hospitality!!!",0,1,0,0,,
488,Buddakan,Donnell K.,"Washington, DC",5,"Dec 23, 2023",no,130,112,85,no,4 photos,,"AMAZING FOOD
AMAZING AMAZING SERVICE
AMAZING AMAZING AMAZING AMBIANCE !!!!
Everything was so flavorful, well presented. The service was incredible. I normally get people's names but our server was just right in every way from recommendations to pleasantries.",0,0,0,0,,
818,Red Hook Lobster Pound,Raye S.,"Brooklyn, NY",5,"Nov 28, 2017",no,398,167,154,no,,,"I am very particular about the places that I patronize. A lot of places in new Brooklyn are overpriced, have mediocre food and terrible customer service. Red Hook Lobster Pound surpassed all my expectations and the Down East Chowdah was one of the best soups I've had this year. 
-- On to the specifics
Came here after my fiance and I passed it on the way to the Brooklyn Crab. He really wanted a lobster roll and Brooklyn Crab did not scratch that itch for him so we ended up coming here the next day. I was put off at first at the prices ($25 for a roll) and wasn't actually going to get a lobster roll but once his arrived I had second guessed my decision. 
I ordered the fried lobster roll but the one I received was extremely salty, I was extremely disappointed and hadn't eaten all day so I ended up sending it back to the kitchen. I was apologized to profusely by multiple members of the staff and it was explained someone got a little heavy handed with the salt. I was asked if I wanted something else and ended up ordering the roll my guy had(Connecticut​ Roll). It was delicious, super meaty and tasty. They did not charge us for any lobster rolls. The fact that the staff was super diligent and apologetic made this experience THE BEST experience I've had at similar places in Brooklyn.
OH, THEY ALSO HAVE A LOBSTER SPECIAL ON WEDS!",2,0,0,0,"Feb 5, 2018","Thanks Raye. I am sorry that the fried lobster rol was salty and I do hope that you will come again.
Susan"
162,Amy Ruth’s,Rodney M.,"Westside, Jacksonville, FL",5,"Jul 9, 2023",no,4,18,65,no,,,"I always visit this spot when I'm in Ny , chicken and waffles is my go to . Staff is friendly and attentive. Other options on the menu are good too .",0,0,0,0,,
458,Buddakan,Patrice P.,"Abingdon, MD",5,"Feb 17, 2024",no,5,28,22,no,,,Loved my overall experience. The food was great. The service was impeccable. The ambiance is definitely one my fave spaces. Overall it's a perfect place to enjoy.,0,0,0,0,,
215,L & B Spumoni Gardens,Joe S.,"Staten Island, NY",5,"May 22, 2024",no,0,1,0,no,,,"The best spot in bk for square pizza, also try the restaurant food is off the charts good and staff is mad cool and on point, lil tough on the parking but definitely worth the wait, they also just redid the inside the place looks more modernized and comfortable, if you haven't been there I suggest you go check it out you won't be disappointed I promise you.",0,0,1,0,,
810,Red Hook Lobster Pound,Nagamagamoo D.,,2,"Oct 15, 2023",no,3,57,3,no,,,If you are coming here for a good lobster roll... Skip this place and go to Littleneck on 3rd Avenue Gowanus for a super delicious lobster roll.,0,0,0,0,"Oct 18, 2023","Hi Nagamagamoo, 
Im sorry to hear that your roll was no so good. can you explain this situation a little more so i can express these concerns with my kitchen staff. if you ever plan on coming back please let me know so i can try my best to make it up. 
-Kerry"
577,The Halal Guys,Elizabeth T.,"Seal Beach, CA",5,"Aug 16, 2023",no,1,42,26,no,,,Bomb. Amazing. Delicious. Quick. A simple New York must. So flavorful and simple too.,0,0,0,0,"Aug 16, 2023"," Hi Elizabeth, thanks for the 5-star review! We appreciate you taking the time out of your day to rate The Halal Guys."
923,Di Fara Pizza,Samantha F.,"New York, NY",4,"Feb 22, 2024",no,0,120,9,no,,,"Truly delicious, mouth-watering pizza. There is indoor seating available. The pizza may be a bit expensive but I think it's so worth it. The only thing that could be worked on is the customer service- the workers are not the nicest.",0,0,0,0,,
265,L & B Spumoni Gardens,Jay C.,"NY, NY",4,"Jan 13, 2024",no,0,3,0,no,,,"I've been going to the Gardens for decades. I love the place, but even after all these years I don't understand what all the hype is about. But I'm glad it's still here!",0,0,0,0,,
976,Di Fara Pizza,Kenny B.,"New York, NY",1,"Jun 25, 2023",no,1,23,9,no,,,"Not sure what all the hype is about, but I ordered a Sicilian and classic slice. Both were harder than a frozen pizza. Went outside on the sidewalk to take a bite and it was awful. They looked like left over slices from the night before. Was excited to try the place but won't ever make it back.",0,0,0,0,,
815,Red Hook Lobster Pound,Kenny C.,"Brooklyn, NY",5,"May 5, 2015",no,1062,4499,19744,no,10 photos,,"Red Hook Lobster Pound is just swell. They were badly affected by Hurricane Sandy, but the owners used it as an opportunity to renovate their space and offer a more full dining experience. To that end, it looks like they've definitely succeeded.
We were able to just walk in on a Sunday night and grab a table. Our waitress apologized for the wait, even though it was literally 20 seconds.
Started out with some beers and a cup of the New England chowder, which was possibly the best I've had since I was in Boston years ago. Their beer selection is also pretty good. Lots of crafts.
We wanted to do the oysters Rockafella, but sadly, they were sold out for the day. Also sold out of the peel and eat shrimp. Sad face.
Oh well, that just meant we had to get more lobster! We split the lobster mac and cheese. The lobster chunks were oh so plentiful. With some fresh pepper from the grinder, it was perfect.
For my lobster roll, I went with Connecticut style. So buttery, with giant chunks of fresh, meaty lobster. About as good as it gets. The slaw on the side was decent, and I opted for potato salad, which was pretty good.
Of course, no review of the newly renovated Lobster Pound would be complete without reviewing the bathroom in the back. It's big and round, with a beach umbrella mounted to the ceiling, three beach cots on the ground, and mirrors all around (kind of like the funhouse sort). Definitely the coolest bathroom I've been to in recent memory (and I like bathrooms).
Stop by and show these guys some love!",2,0,2,0,,
296,L & B Spumoni Gardens,Dave D.,"Brooklyn, NY",4,"Nov 21, 2023",no,30,129,224,no,1 photo,,"I came by to try out the famed Sicilian slice. The line wasn't too bad and they have lots of outdoor seating. I'd love to try out their pasta or spumoni ice cream next time, but I only had enough stomache for the pizza. Crispy, toasted bottom but a soft and pillow-y texture dough. It really was something special. Certainly some of the best sicilian in the city.",1,0,1,0,,
220,L & B Spumoni Gardens,Dottie Z.,"N HOLLYWOOD, CA",1,"May 3, 2024",no,27,12,2,no,,,"Ive heard so many people say this is the best pizza period. Well I had to give it a try. 
The line I guess to the left is to order pizza only. It didn't seem so long and I think most were just getting pies.
When I got up to the window I asked for 3 squares middles please. The guy looks down at the last 3 pieces he had in front of him which were 2 corners and a side which look like they have been there for a while. He shrugs his shoulders and said that all I got. I didn't want to hold up the line so I took the 3 pieces gave him the $12.
I have to say it was the worst pizza ive ever had. the crust was burnt and dry, the slices were cold. I had better pizza from a supermarket frozen boxed and thrown in the microwave.
Won't go there again.",0,0,1,2,,
